"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"EGFR_UP.V1_UP","EGFR_UP.V1_UP","EGFR_UP.V1_UP","160/5109","192/10922",3.8108241470018e-26,7.20245763783341e-24,5.13458411385506e-24,"7035/3675/3097/5238/23034/211/2730/9497/25897/116984/6558/6416/2261/602/51083/5873/55062/11320/10644/11343/64778/22978/4791/3566/1906/55604/93664/3383/23231/7042/9517/9766/10484/655/6367/23406/57214/6674/64089/7138/8714/1594/2004/1839/7474/868/3694/3554/2034/1490/22936/23433/8835/1846/3624/27161/6310/3659/3895/81537/3976/112399/6303/9590/5791/4017/23175/3601/29109/55332/64759/9314/7280/6386/58472/1545/1847/316/22822/1848/10161/10150/5366/6004/9015/6279/51097/7851/4026/10184/25816/27242/1956/55790/133/10205/84159/23657/9456/2697/7804/2114/1827/3099/2634/23528/824/6280/9076/6286/3673/2150/4982/4783/5277/840/56935/4319/51129/6890/3790/3726/2266/2244/5031/3669/9915/27289/2745/2/56892/6197/9582/55076/2131/25825/5142/80757/151011/84981/2650/4128/4312/9260/4217/5167/30001/65124/444/9060/10479/2710/259230/11138/5699/3887/1052/3995/26286/2119",160
"ERBB2_UP.V1_UP","ERBB2_UP.V1_UP","ERBB2_UP.V1_UP","155/5109","190/10922",1.99815858298571e-23,1.88825986092149e-21,1.34612788748511e-21,"58473/55885/23596/10076/22998/6558/9351/602/55062/11320/8974/4854/1906/93664/22924/43/8760/79153/57214/10397/665/3783/53635/7138/333/1048/50617/57037/8729/5878/8714/25979/230/2026/23530/5144/7903/604/2771/7433/3694/3554/2034/8564/79695/5507/4488/1846/1475/7852/6310/6662/7408/81537/4016/112399/64097/2258/2593/6303/51337/9518/54858/80328/23180/6533/2330/5791/3691/23508/79679/9415/9764/55619/55332/5100/6386/1545/22891/83464/658/1848/1543/51097/2052/7851/27242/10957/5631/55790/56904/726/10205/1646/831/375056/9337/3778/5097/8659/9619/2264/4041/55450/79762/824/6286/23462/4982/360/29763/4597/51129/10963/25849/3576/50515/5734/6919/3913/94009/9915/6712/55690/4642/56475/767/64856/9582/168544/64764/25825/439921/253190/5142/151011/4059/4128/27010/309/5265/81031/6277/57016/51170/444/9060/10479/11138/3887/542767/8705/105375355/2119/3217",155
"MEK_UP.V1_UP","MEK_UP.V1_UP","MEK_UP.V1_UP","157/5109","195/10922",1.46018061024093e-22,9.19913784451787e-21,6.55800414423997e-21,"79007/5166/4293/3730/23034/2273/5583/7077/26064/23596/10076/22998/6558/2261/602/51083/10644/22978/3566/1906/93664/29888/1384/9517/655/11151/23406/57214/6674/3783/53635/1048/5878/8714/6484/397/2026/4739/5754/868/2034/23266/22936/79695/9870/55640/1846/7852/5328/6310/10257/7408/81537/5447/8910/4016/112399/51337/9518/80328/23180/6533/5468/5791/3691/9645/8650/23508/9415/51280/79616/3915/64759/9314/7280/6386/6653/56649/23650/1545/1543/1969/79180/51097/2052/7851/54491/25816/27242/2041/55790/56904/133/726/10205/23657/1646/5097/7804/116987/8659/10020/9619/11182/4041/55450/79762/824/55765/6286/2150/4982/360/29763/51129/10963/25849/10736/5569/50515/5734/2244/254102/6712/55690/9537/8061/2877/4642/64856/10331/25825/439921/151011/2650/4059/347/1364/4128/8644/9260/81031/4644/30001/6277/57016/444/10479/9578/3897/11138/3887/2878/9080/23089/105375355/2119",157
"LTE2_UP.V1_UP","LTE2_UP.V1_UP","LTE2_UP.V1_UP","142/5109","188/10922",5.13318042615361e-16,2.42542775135758e-14,1.72907130144122e-14,"30845/2730/5583/27067/23596/26999/6646/6558/65055/5873/4925/11320/8974/1906/5236/2036/1808/26517/5427/1033/2954/9517/51635/9252/10484/4318/655/5332/83752/79152/23475/51760/57214/665/53635/7138/50617/57037/6019/8714/10090/9749/3157/3488/3554/2034/8564/9429/79695/23433/5507/80129/1846/7852/51141/81537/80328/9590/54869/23180/55556/54453/694/8650/4212/3158/79679/1824/51280/5025/26298/2001/55332/64759/8836/6386/6653/1545/316/51228/4857/90141/6652/11322/8543/8560/2052/10957/2631/1730/5631/55790/55286/1836/55005/9630/7804/9334/1827/8659/2264/80150/79762/134/4982/360/23588/7083/55872/5867/9022/50515/5734/28998/94009/11163/3265/8541/51806/64764/25825/5121/253190/5627/151011/2650/4128/309/5265/4217/81031/4644/23303/4155/65124/444/10479/10497/9867/11138/2878/9936",142
"RAF_UP.V1_DN","RAF_UP.V1_DN","RAF_UP.V1_DN","140/5109","193/10922",2.16003175749339e-13,8.164920043325e-12,5.82071715703481e-12,"7035/6542/4254/2581/5165/54847/771/2239/28962/5241/57613/22996/7042/55105/54566/25805/3983/11083/5332/51340/28952/6445/5157/54332/857/10551/6505/1955/9562/22943/8030/56521/5376/1363/7358/595/4256/23329/202/2690/8614/2820/3485/3488/3398/8942/390/57535/4602/23314/5507/4601/80129/5357/1475/6659/1948/6662/3397/4430/863/7837/1968/6451/22903/10810/6658/80210/7020/6938/10099/3480/5046/5366/3487/1952/8991/51454/57007/55164/26018/4651/10769/357/8573/84909/27250/9231/2674/26353/55740/6566/1831/26053/8365/7033/7031/64699/205/323/4886/22836/10395/2852/116039/26130/1381/125058/54541/3667/6383/9022/7580/4071/2353/596/221037/794/9915/22843/57758/23283/22882/1960/23401/51363/23236/18/2188/57419/10336/4603/57402/12/9687/54898/22876/29902/65986/11254",140
"TBK1.DF_UP","TBK1.DF_UP","TBK1.DF_UP","188/5109","287/10922",7.4521172784779e-11,2.34741694272054e-09,1.67345791516697e-09,"4800/29916/55013/5329/637/25937/9765/23596/23200/6515/4804/9697/7030/79901/9886/5523/11343/22978/28962/1741/29887/1789/55287/1114/29965/54566/23031/3162/27349/23002/3705/4318/9837/5753/9388/8406/7355/56271/11151/4832/9100/55192/23080/10049/57037/6019/9562/8030/1845/54868/7126/2965/10635/2026/8732/5754/1839/23548/57415/79669/9540/90/10314/3554/80146/23178/66008/50999/23673/55686/7128/79695/64411/8795/5533/4952/5328/976/54436/192669/54629/7837/9885/2643/54453/1024/694/79616/9648/64759/55852/8027/152006/7280/9635/1847/3685/145389/3480/25800/3321/1382/7159/6279/6016/8560/57205/25816/4794/8601/29967/84909/57720/29982/818/23052/55216/26278/6695/388650/7079/26504/861/29/5316/29115/115/2135/10602/7039/285203/80149/11157/55568/26872/8323/4783/840/56935/1152/9710/440026/6809/79837/79850/23255/221749/1942/3576/6699/55454/8460/10746/29071/81831/10243/8462/11163/23333/23015/79666/2877/80205/10425/9792/55076/5627/10519/7127/4603/27445/4771/1364/8644/6399/309/57162/81031/140885/25829/4860/22876/100507436/80772/7844/23089/9907/11072",188
"CSR_EARLY_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_EARLY_UP.V1_UP","110/5109","153/10922",2.01397699586664e-10,5.43773788883993e-09,3.8765271499388e-09,"51330/6482/51534/5329/5606/51491/168850/9564/57602/60488/83641/91283/865/51083/22894/3301/5829/3589/1832/4650/623/22919/30844/8767/84444/8178/6461/23560/10105/7358/24145/81566/2004/7803/1839/10802/10342/9136/23007/4691/10096/3241/6675/3399/2152/29126/6909/3624/60673/262/6615/6662/6597/5782/51105/11047/1736/57050/29889/55312/23670/4907/10253/56262/3159/5612/2542/8412/53371/122786/59274/9775/90874/126626/115265/54107/219333/285672/6921/7071/6566/6781/285761/143279/9188/51068/51621/7532/1503/92597/10276/6731/8325/7334/2624/8204/57621/6525/3840/81848/9883/5770/192134/4860/7150/221527/162073/10921/1147/2297",110
"RAF_UP.V1_UP","RAF_UP.V1_UP","RAF_UP.V1_UP","131/5109","193/10922",1.96650380740523e-09,4.64586524499484e-08,3.31200641247196e-08,"2534/10903/211/2730/960/5583/8863/9603/23596/23224/1316/4734/9891/5236/10403/3655/55357/64781/5836/51635/412/11151/23406/64131/3783/7138/7980/23554/2887/56913/57037/10367/8714/1839/5144/3694/25797/22848/2034/4610/5129/5311/8013/79695/4488/8835/1846/10133/10257/23157/81537/2770/8910/6303/55422/5468/9645/22800/79679/1824/26136/3915/7280/6386/1545/10144/3613/64762/114876/6279/51097/25816/23092/27242/1956/5631/55790/10205/51232/9781/831/55286/58494/1827/10020/11182/4041/55450/824/10602/6280/9076/57406/1230/50650/6286/3248/9317/9200/89797/10982/23102/51129/221749/2861/5734/7857/10892/2745/56892/115207/2624/10331/55526/64764/25825/7378/151011/7003/2760/4217/55742/51170/444/3897/3283/11138/5699/1052/23089/2119",131
"EGFR_UP.V1_DN","EGFR_UP.V1_DN","EGFR_UP.V1_DN","131/5109","196/10922",8.85093137903618e-09,1.8586955895976e-07,1.32505171522413e-07,"22875/56603/60481/50865/55635/51230/4052/5954/2581/55706/9130/3993/55094/5241/57613/22996/3983/24148/11201/6445/4832/1512/23312/23678/857/2887/2146/6505/56521/54894/1363/6711/55120/80303/3398/23683/7456/57535/4602/23314/1475/10124/8805/6491/1948/58495/3397/2537/51309/25913/4698/1123/79733/863/684/1968/80758/4147/6658/9315/2001/80210/83990/3832/79800/6744/839/11001/3480/29919/1952/55827/8416/51514/11000/51454/57007/54892/84909/56904/27250/2059/79682/2674/27295/1831/3017/8365/64699/51375/323/4886/22836/10395/2852/116039/56339/79170/624/10098/3667/596/794/10276/90806/23015/1960/8204/8334/23705/79184/3006/10388/9687/51427/8969/54898/10793/9747/7594/22876/26046/55251/23089/11254/8339/8344/8345/3012/8343/8357",131
"VEGF_A_UP.V1_DN","VEGF_A_UP.V1_DN","VEGF_A_UP.V1_DN","129/5109","193/10922",1.14430276922432e-08,2.16273223383396e-07,1.54179741537592e-07,"6542/996/23376/578/9497/23223/8975/55854/5255/5597/6400/51109/3161/10615/3835/55183/10403/332/10914/10762/8318/2289/8829/1033/9517/7443/5411/6102/2321/10940/4173/898/93436/4232/22943/7019/79080/867/84830/23195/7272/4001/10051/1058/9173/390/5906/5997/34/6675/5999/7347/7112/1271/262/1164/8202/1434/9208/9787/6049/4289/6303/1968/4131/5791/79572/891/26578/6885/10200/9493/9411/3832/471/1062/7090/22994/10733/8915/8490/7424/5756/26278/51351/22878/5922/23362/6103/701/7804/9133/9334/1636/3625/5984/4085/3673/26872/9188/11051/51367/10963/8754/5865/699/7360/5099/2861/6241/9156/7525/9852/23212/90355/91304/26155/7678/55660/80055/4644/444/7975/11177/9652/1719/8341/56242/3690",129
