"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","165/2418","200/4383",6.85582465919975e-17,3.42791232959988e-15,2.23716383615992e-15,"204/9918/672/55148/10460/23649/4361/55635/3149/5981/5982/5424/54556/9319/8243/3161/4171/54962/4292/7374/10615/29089/3835/7514/23047/9183/6790/332/24137/23594/23468/4436/5902/79019/4174/84844/1033/5411/9837/4605/994/10528/6839/10664/2935/9738/4173/55723/898/3978/6119/2146/5425/9126/5889/51747/10635/1027/57122/8914/83461/25842/4172/4001/10051/56655/991/3925/6118/10274/64858/3070/11340/7112/5395/11113/1031/10549/10212/1164/1434/1026/7913/9787/10606/1854/79733/1786/7283/29893/7153/5901/6117/5111/4678/5983/1965/55143/10492/1019/9924/9700/6426/6434/79075/4609/3159/6941/580/3184/1062/675/81624/7157/10733/11004/81611/5558/253714/5631/84296/4288/6749/1111/57405/1633/29028/701/9133/29980/6427/29127/147841/197335/7398/3015/3148/4085/9232/5885/11168/9833/4176/5347/11051/7083/983/5036/1503/6241/1163/6470/5426/9212/79077/64785/3838/84316/11200/146909/4673/3014/51155/203068/2547",165
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","160/2418","200/4383",4.83688588344238e-14,1.2092214708606e-12,7.8917611782481e-13,"996/5048/1870/10460/23649/3149/5926/8452/10721/1112/6558/602/8243/3161/4171/9462/3835/5933/10403/7514/23047/91746/546/8438/6790/22974/332/24137/51776/23594/10762/8318/990/8317/4174/1033/3091/9252/4605/994/1869/6839/10664/2935/6713/7040/94239/2146/3837/10951/7468/3312/595/4928/1027/26271/4172/1871/7272/4001/10051/4691/1058/4953/6421/991/1810/3925/4751/1063/6118/10274/5887/7112/1031/10212/6491/262/1164/4502/904/1736/51659/5119/7153/4678/4212/4853/10492/1019/10024/9700/6426/6434/4957/10592/4609/3159/4926/9493/57082/3832/9585/580/3184/1062/1950/675/8451/7090/5371/10733/11004/22823/7371/890/10146/5558/4288/3619/1111/3192/9184/9133/6427/29127/899/56992/3015/4085/9232/5885/5001/8065/5347/4088/10036/55872/1841/22809/699/983/3799/1163/6599/9156/11065/5426/9212/3838/10293/1946/3014/10772/51155/85236/3151/7150/1874/10432",160
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","151/2418","199/4383",4.88610887331829e-10,8.14351478886381e-09,5.31471491483744e-09,"57679/996/57787/5048/10048/54443/23637/7414/5981/7204/9564/23095/79658/8243/23332/9462/6624/1739/22920/832/5108/4983/3835/10403/3797/2017/6790/22974/5829/332/393/24137/64857/7430/4650/25777/4627/51199/394/9371/22919/55125/4281/8976/7461/9126/51174/7531/4739/26271/8936/7272/4001/10051/1894/6711/22930/9181/4751/1063/5311/11064/64411/57580/6780/11190/9787/7277/11135/9732/55201/6249/9113/7153/3996/9826/4628/4853/324/9700/9771/10006/55755/4926/9493/9411/10128/3832/9585/1062/675/54509/80119/89941/85464/396/1453/6904/22994/11004/127829/357/2934/3619/9344/55835/667/10160/5922/7074/163786/9133/4643/10163/2035/29/5116/29127/10611/151987/56992/50650/253260/134549/58526/382/9702/5347/29901/699/983/3799/11214/11346/4296/10276/9793/50628/55785/9735/10801/613/4763/23365/2316/1778/6709/23607/9874/23012/140735",151
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","148/2418","200/4383",1.49064106139786e-08,1.86330132674732e-07,1.21604928692983e-07,"8837/5329/330/960/5606/3371/4084/6515/1316/602/490/2355/4791/1906/2683/23645/3383/4616/4792/182/8848/10725/8767/5971/10135/5054/1326/9120/374/10938/595/24145/51561/7422/1839/604/3280/6364/64135/3398/8942/127544/1647/2152/7128/6446/8013/1843/1958/1846/3624/5328/1959/3164/6385/56937/1026/3659/3553/8744/9322/2354/650/7538/3976/6303/3949/9945/4814/2643/5791/23135/694/8553/3601/55332/10010/9314/4609/7280/8870/7097/1847/22822/597/4170/388/57007/10769/25816/10318/4794/10957/3606/4929/7071/2114/1844/9334/3460/1827/11182/9592/8878/8613/51278/10611/25976/57018/2919/80149/2150/2669/19/4783/5271/4088/6890/3575/79155/1942/2353/5209/3726/5734/80176/1051/5970/10221/23529/8061/8877/5187/1960/7262/1435/5142/8303/23764/7127/8660/2526/79693/3914/65986/1052/7124/6648",148
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","146/2418","200/4383",8.33779279115083e-08,8.33779279115083e-07,5.44150687422475e-07,"56603/5577/928/7869/60481/960/999/5733/23596/2296/3918/493/2261/51083/6196/224/3993/771/2222/5241/29887/7022/6820/645/990/2289/7494/3705/9455/7264/2109/51599/7980/857/4232/27075/10551/573/56521/10105/51195/374/1363/7466/7358/595/56994/5777/2444/64065/2030/10112/5618/3398/2582/991/4602/6446/6491/64377/58495/7517/7538/10439/51659/7153/29107/8900/9215/3158/6658/64215/9314/29988/23650/26509/6652/11001/10140/3613/3487/10733/1952/8416/7162/3547/9536/6768/27250/11098/9231/26353/10160/27295/6566/1836/7074/5603/1844/4681/7033/7031/64699/3716/6280/5364/4886/8645/2171/2852/1345/6990/3251/5979/56339/1152/4665/399665/21/55806/11031/9022/51181/2353/596/57834/3669/4299/1717/57758/2810/11145/1960/8204/5121/11187/57419/5104/2707/12/9612/5265/6584/9060/10497/2013",146
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","78/2418","100/4383",1.3209404140022e-06,1.10078367833517e-05,7.18406190071371e-06,"60481/5238/8554/23223/2773/3422/11099/87/3998/8555/2683/2289/6319/9218/10627/6611/8848/9455/10397/2936/57178/595/10645/896/6722/3157/3156/3977/1718/6675/6446/22936/2185/2181/56937/25803/10257/79689/4189/60559/6303/11047/9590/54407/9053/3685/658/6652/207/10788/25816/3992/84159/9871/23171/10461/56172/1622/1836/2005/563/10611/3248/55839/567/4824/5867/3856/5036/6197/4094/3638/3005/2547/27347/51465/65986/6414",78
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","142/2418","200/4383",1.92523050571946e-06,1.37516464694247e-05,8.97475874846668e-06,"4190/64132/55635/960/56052/54480/2530/5256/3309/5318/2817/4199/5214/5315/5165/3796/3161/8974/2023/2239/5351/2683/6790/1738/11015/638/5836/5834/5230/7264/5516/2997/4233/2584/7167/2026/7422/10112/10007/5917/8614/1058/3069/6382/5768/2582/9048/10327/23443/3925/4601/2805/8702/7852/5033/79586/2806/6662/3425/54982/10776/112399/25796/1289/8789/3597/4678/3939/1824/4907/7295/8870/2542/53836/3417/26035/839/5373/9123/6647/10456/8497/29926/5066/7162/1956/5631/2719/7436/50808/726/26229/226/2132/10570/9456/5352/10461/9653/2585/22976/6781/3099/10020/7033/2539/51728/205/9672/10380/7039/1999/10370/501/1365/51129/54541/55276/6383/7360/8460/2990/983/136/90161/5223/3669/2745/5091/8534/6888/10331/2131/1468/9276/8660/375790/23036/30001/2673/9080/4282",142
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","141/2418","200/4383",3.96849742168713e-06,2.48031088855446e-05,1.61872921147764e-05,"56603/6542/7869/60481/960/23223/23596/2296/65055/6196/771/9620/2222/5241/22996/2683/7022/6820/645/2289/3983/23541/7494/3705/6505/573/10105/51195/374/7466/595/3875/23329/56994/2444/8614/3280/2274/79083/6513/55686/4602/8165/60598/64284/58495/64919/23030/863/10439/9467/29107/8553/6658/9314/4609/347733/26509/11001/3480/10140/25800/5366/3487/1952/55793/8416/26018/7162/7739/55638/7357/9536/23052/11098/2674/26353/2697/10160/54463/27295/7071/6566/1836/7074/84187/4681/3898/7033/7031/64699/115/9249/3625/1999/25976/4886/22836/8645/10395/107/6990/360/5979/8800/89797/399665/21/55806/11031/367/9022/2194/2353/3856/124583/596/794/4299/55191/1717/91683/2810/11145/1960/8204/1366/25987/18/57419/4603/79875/9687/79754/9612/6840/6584/54898/9060/22876/7052",141
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","139/2418","200/4383",1.56935102919452e-05,8.71861682885844e-05,5.69004466725498e-05,"3423/5329/3309/1356/6515/2817/5214/1316/5165/6095/23210/3340/8974/771/2023/2355/2239/5236/5317/23645/6820/4214/11015/3162/5155/4627/8406/5230/10397/665/2997/857/5054/2584/2027/230/1027/2597/7167/2026/2651/7422/4015/8614/2632/54800/55818/3069/54206/6513/2152/8609/7128/1490/2309/5228/7043/5507/4601/1843/7852/5033/6385/1026/4502/7538/8459/1028/1289/9590/6533/63827/9215/694/272/8553/3939/1837/26136/9380/5292/8870/2542/839/8991/8497/57007/5066/7162/10957/1956/2719/7436/123/133/226/25819/10570/5163/5578/3098/6781/3099/205/9672/25976/10370/5260/4783/2203/124872/51129/54541/3516/1942/55276/6383/7360/2353/136/5209/112464/2548/596/3669/2745/284119/55076/2131/633/302/23764/8660/23036/6275/30001/7052/3073/4282",139
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","137/2418","200/4383",5.64939988729382e-05,0.000282469994364691,0.000184348838427482,"79602/928/60481/5606/3309/6515/4199/4802/3422/27071/51109/4171/2023/7374/5236/2932/23645/6790/26227/6319/7494/5706/51382/5641/5693/57761/5230/11151/80777/6713/2936/4173/4793/10135/10652/27346/7323/6309/2965/4048/2597/7167/3157/3313/3156/900/2632/9136/10096/3488/3336/1718/6513/8503/2805/51569/2107/27230/10987/7852/5033/10212/2181/1026/6745/8894/7277/23753/112399/3949/10452/6533/7283/47/6117/8553/9695/3939/9415/26136/81873/2542/5861/10097/3417/8615/7453/6652/6016/7436/871/3992/7108/226/23657/5860/5163/5352/6781/3099/2539/3689/8878/2232/899/205/8833/6184/134429/4783/3251/7184/5347/54541/10963/699/3308/6241/1717/2745/488/26471/811/5464/23760/6472/8624/29110/3638/6917/5718/30001/7296/4860/10962/1719/31",137
