"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GCM_NPM1","GCM_NPM1","GCM_NPM1","20/422","116/10013",6.67572462635839e-08,4.57118707235285e-05,4.33894239906933e-05,"3326/8683/3550/6418/6950/3178/11224/6194/5428/6187/6161/6189/6130/3192/6159/6157/3921/6165/9045/9326",20
"GCM_CSNK2B","GCM_CSNK2B","GCM_CSNK2B","18/422","99/10013",1.32115233304996e-07,4.57118707235285e-05,4.33894239906933e-05,"10992/3326/8896/8683/3550/6418/3178/10541/5428/6161/3192/6159/5702/3921/7314/1072/9045/9326",18
"MORF_NPM1","MORF_NPM1","MORF_NPM1","23/422","162/10013",2.82479775342175e-07,6.51586681789283e-05,6.18482034433393e-05,"60/3320/3326/1982/6207/6152/3178/10541/11224/6194/6176/6187/3068/6161/6189/6159/6157/7314/1072/9045/203068/6136/6235",23
"GCM_TPT1","GCM_TPT1","GCM_TPT1","14/422","70/10013",1.00048327268071e-06,0.000169089305337658,0.000160498519213111,"11224/6194/6176/6187/6161/6189/6130/6159/6157/3921/1072/6165/9045/6235",14
"MORF_ACTG1","MORF_ACTG1","MORF_ACTG1","20/422","138/10013",1.22174353567672e-06,0.000169089305337658,0.000160498519213111,"60/3320/4637/3326/1982/6207/6152/3178/6194/6176/3068/6161/6189/6159/6157/7314/1072/9045/6136/6235",20
"GNF2_ST13","GNF2_ST13","GNF2_ST13","13/422","64/10013",2.03108763847029e-06,0.000201226556209536,0.000191002998288333,"51637/6207/6152/3178/6194/6161/6189/6130/3921/6165/9045/6136/29883",13
"MORF_NME2","MORF_NME2","MORF_NME2","21/422","155/10013",2.03552874778432e-06,0.000201226556209536,0.000191002998288333,"115939/60/3320/23193/4637/3326/1982/6207/6152/821/11224/6194/3068/6161/6189/6157/7314/1072/811/6136/6235",21
"GNF2_EIF3S6","GNF2_EIF3S6","GNF2_EIF3S6","18/422","121/10013",2.85031186150002e-06,0.000246551976019752,0.000234025605470528,"9512/6207/6152/3178/11224/6194/6187/6161/6189/6130/6159/6157/3921/6165/9045/6136/29883/6235",18
"GCM_ACTG1","GCM_ACTG1","GCM_ACTG1","18/422","124/10013",4.07766736869925e-06,0.000313527313237764,0.000297598179891033,"9168/3320/3326/1982/8683/3550/6418/6950/3181/3178/6194/6161/6189/3192/6159/1072/6165/9326",18
"MORF_TPT1","MORF_TPT1","MORF_TPT1","15/422","102/10013",2.20954350399903e-05,0.00152900410476733,0.00145132120683726,"60/4637/1982/6207/6152/6194/6176/6161/6189/6159/6157/7314/1072/6136/6235",15
"MODULE_52","MODULE_52","MODULE_52","37/422","430/10013",2.6868799393635e-05,0.00169029174367231,0.0016044144326917,"4074/23166/5685/7037/6480/1785/338/350/3875/4968/27429/2956/5208/9088/3976/348/9518/4922/4017/9415/5950/51454/2638/2719/2697/1601/213/216/11067/3481/4071/9793/977/10962/5005/23089/5175",37
"GNF2_DAP3","GNF2_DAP3","GNF2_DAP3","16/422","119/10013",3.70431484585982e-05,0.00213615489444583,0.00202762496826011,"51637/6152/3178/6194/6187/6161/6189/6130/3192/6157/3921/6165/9045/6136/29883/6235",16
"GNF2_FBL","GNF2_FBL","GNF2_FBL","18/422","146/10013",4.0249114205579e-05,0.00214249131002005,0.00203363945459767,"51637/9512/6152/3181/3178/11224/6194/6187/6161/6130/6159/23350/3921/6165/9045/6136/29883/6235",18
"MODULE_8","MODULE_8","MODULE_8","35/422","421/10013",8.97891298620935e-05,0.00443814841889776,0.00421266293488318,"5685/9448/7037/6480/1785/338/350/27346/1119/3875/6364/4780/2956/7429/3976/348/9518/4922/1875/5950/2638/9589/2719/3698/2697/213/216/3481/4071/9793/977/10527/5005/23089/6905",35
"GCM_PPP1CC","GCM_PPP1CC","GCM_PPP1CC","10/422","56/10013",9.92000841431078e-05,0.00457643054846871,0.00434391947405609,"7175/1982/8683/3550/6418/6950/5428/3192/1072/9326",10
"GNF2_TPT1","GNF2_TPT1","GNF2_TPT1","8/422","38/10013",0.000149386734334905,0.00646097625998462,0.00613271856743292,"6207/6194/6176/6187/6161/6189/6157/6136",8
"MODULE_83","MODULE_83","MODULE_83","28/422","320/10013",0.000196676360144965,0.00800588477766565,0.00759913614430083,"5685/5315/3301/1891/6207/6152/27230/84292/821/3178/11224/6176/6187/6161/6189/6130/79081/6159/6157/3921/51282/84153/6165/9045/6136/10527/7114/6235",28
"MODULE_114","MODULE_114","MODULE_114","27/422","338/10013",0.00105130512189758,0.0404168413529514,0.0383634149745082,"4074/5685/5315/51637/4069/4637/1312/1891/6207/6152/821/11224/6176/6187/6161/6189/6130/79081/6159/6157/3921/51282/84153/6165/9045/6136/7114",27
