"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AASS",1898.71485431419,-2.86910262935557,0.0688632099785084,-41.6637945029136,0,0
"ABHD15",3568.89449857948,-1.83734767221377,0.0449875802414068,-40.8412202291037,0,0
"ABI1",6279.41371166334,1.58163447707142,0.0331063079803962,47.7744144109327,0,0
"ABR",3776.66715551458,5.65957040048357,0.0701365084456607,80.6936433807281,0,0
"ADAMTS10",1761.75715634572,3.08296674318934,0.0598246984056828,51.5333436749342,0,0
"ADAMTS7",2353.06438760907,4.42821564146455,0.0707681037759015,62.5736088038645,0,0
"ADCK5",1631.03172230649,2.29000267382058,0.0561445257683244,40.7876394444952,0,0
"ADCY6",3045.16646513134,1.76120215818583,0.0446958201535134,39.404180349231,0,0
"ADD3",8863.7484977695,2.06431302358505,0.0317881752616327,64.93965150861,0,0
"ADGRA3",4966.27693746746,1.63661053132524,0.0368401389782697,44.4246568203936,0,0
"ADGRD1",1120.05067217999,5.3812587203945,0.108335699875524,49.6720723323658,0,0
"ADNP2",6383.40781029686,-1.79388407301254,0.0433480225419857,-41.3832965800235,0,0
"ADPRHL1",4674.07944741729,-4.6893906231409,0.0654251658661734,-71.6756398101154,0,0
"AEBP1",64769.0364289661,-2.98048668019619,0.0335120488792227,-88.9377635768511,0,0
"AFF1",13401.8053914729,1.7282960880339,0.0353013353494415,48.9583770961017,0,0
"AFF2",4962.2571873172,6.40698609769805,0.0718208106192299,89.2079335008591,0,0
"AFF3",2253.52541621579,-5.59746495346197,0.116223592570606,-48.1611764845549,0,0
"AGAP3",2518.02590501553,4.21463533126293,0.0635963948879261,66.2716076703758,0,0
"AGPAT3",3793.02357478773,2.25044872281887,0.0400688031777505,56.1646104785207,0,0
"AGRN",2696.50648667748,2.160549032659,0.0514901962841814,41.960396125403,0,0
"AHSA2",14707.758972337,1.48493354313126,0.0357748806762855,41.5077147724937,0,0
"AK4",9746.20166328379,-1.96387190258743,0.03234810550364,-60.7105693520892,0,0
"AKAP12",13164.3361408408,1.68088121461368,0.0319552365297078,52.6011194769601,0,0
"AKAP9",21347.1323462165,1.57565554608102,0.0291151857633118,54.1179973533436,0,0
"AKR1B1",26559.7736286571,1.73454351998513,0.0293825361911431,59.0331450185698,0,0
"AKT3",944.175530769291,4.28074686416348,0.0947185544694168,45.1943854944035,0,0
"ALDH1A1",5991.18598326421,10.1062033762875,0.204636054861324,49.3862305112177,0,0
"ALDH9A1",7380.20910707203,1.54381992381722,0.0344091598653262,44.866539312775,0,0
"AMOT",29022.5357921841,5.54001600028737,0.0323619647427292,171.189111796188,0,0
"ANKLE1",2789.68406582378,-4.94145621961578,0.088344413493422,-55.9339976826459,0,0
