"","Nalm6_0hr_Pred_Rep1","Nalm6_0hr_Pred_Rep2","Nalm6_0hr_Pred_Rep3","A687_24hr_Pred_Rep1","A687_24hr_Pred_Rep2","A687_24hr_Pred_Rep3"
"A1BG",149,118,173,53,46,37
"A1BG-AS1",3734,2634,3577,1017,1026,941
"A1CF",0,0,0,0,0,0
"A2M",173,101,179,6,2,2
"A2M-AS1",1,0,0,2,0,4
"A2ML1",0,0,1,0,0,0
"A2ML1-AS1",0,0,0,2,0,0
"A2ML1-AS2",0,0,0,0,0,0
"A2MP1",0,2,4,1,2,1
"A3GALT2",12,6,10,6,8,3
"A4GALT",3,6,5,0,0,0
"A4GNT",0,0,0,0,0,0
"AA06",0,0,0,0,0,0
"AAAS",8734,6306,8995,2330,2572,2171
"AACS",1218,794,1170,255,255,201
"AACSP1",0,0,1,153,183,153
"AADAC",0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0
"AADACL2-AS1",0,0,0,0,0,2
"AADACL3",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADACP1",0,0,0,0,0,0
"AADAT",1,0,1,0,0,0
"AAED1",1894,1374,1884,3,4,3
"AAGAB",7259,5222,7791,2614,2632,2237
"AAK1",4958,3683,4899,3034,3305,2682
"AAMDC",793,605,842,383,315,296
"AAMP",11442,8404,11814,4673,4718,4297
"AANAT",7,10,6,10,8,5
"AAR2",8397,6048,8568,2365,2423,2021
"AARD",0,0,0,0,0,0
"AARS",19370,14128,21280,9719,9827,8452
"AARS2",7236,5558,7974,1839,1770,1644
"AARSD1",676,568,755,182,218,202
"AARSP1",0,0,0,0,0,0
"AASDH",1279,1009,1389,928,1033,861
"AASDHPPT",6511,4799,7048,3367,3479,2738
"AASS",5342,4193,6147,304,307,289
"AATBC",3,2,0,1,0,1
"AATF",10789,7547,11336,4111,4194,3573
"AATK",8,10,17,3,4,2
"AATK-AS1",0,0,0,0,0,0
"AB015752.3",2,1,3,1,1,3
"AB019438.66",0,0,0,2,0,0
"AB019440.50",63,41,49,0,0,0
"AB019441.29",658,462,560,221,278,102
"ABALON",3,3,3,0,1,0
"ABAT",1990,1542,2323,771,826,647
"ABC12-47043100G14.2",0,0,0,0,0,0
"ABC12-47964100C23.1",0,0,0,0,0,0
"ABC12-49244600F4.4",2,3,3,0,0,0
"ABC14-1188822O7.1",0,0,0,0,0,0
"ABC7-42391500H16.4",0,0,0,0,0,0
"ABC7-42404400C24.1",0,0,0,0,0,0
"ABC7-42418200C9.1",0,0,0,0,0,0
"ABC7-43041300I9.1",54,57,62,4,1,1
"ABC7-481722F1.1",0,0,0,0,0,0
"ABC7-481722F1.2",0,0,0,0,0,0
"ABC8-43014700C16.1",0,0,0,0,0,0
"ABCA1",2895,2038,2604,480,489,411
"ABCA10",93,61,107,25,23,32
"ABCA11P",76,65,90,41,41,21
"ABCA12",8,7,6,4,10,1
"ABCA13",0,0,0,1,0,1
"ABCA17P",31,25,44,0,0,1
"ABCA2",3511,2527,3618,3036,3048,2770
"ABCA3",404,308,378,1,0,0
"ABCA4",23,25,23,152,146,116
"ABCA5",1485,1209,1476,534,618,474
"ABCA6",11,11,13,5,7,6
"ABCA7",2434,1838,2548,859,947,808
"ABCA8",2,1,2,0,0,0
"ABCA9",20,14,18,27,30,23
"ABCA9-AS1",0,0,0,0,0,0
"ABCB1",4,0,1,0,1,0
"ABCB10",4733,3568,5026,4573,4613,3923
"ABCB10P1",0,1,1,1,0,0
"ABCB10P3",2,7,2,7,7,4
"ABCB10P4",1,0,5,0,2,1
"ABCB11",0,0,0,0,0,0
"ABCB4",2445,1839,2647,138,136,131
"ABCB5",0,0,0,0,0,0
"ABCB6",345,237,342,28,44,25
"ABCB7",4171,3008,4505,1872,1925,1636
"ABCB8",4264,3196,4443,1581,1599,1417
"ABCB9",1180,822,1067,147,161,141
"ABCC1",8880,6595,9501,4779,4707,4333
"ABCC10",1803,1484,1857,749,788,701
"ABCC11",20,17,25,0,1,5
"ABCC12",0,0,0,0,0,0
"ABCC13",0,0,0,0,0,0
"ABCC2",453,363,493,227,270,231
"ABCC3",0,0,0,0,0,0
"ABCC4",4896,3681,5219,1897,2041,1738
"ABCC5",6223,4849,7257,5662,5849,5205
"ABCC5-AS1",0,0,0,0,0,0
"ABCC6",12,20,16,0,0,1
"ABCC6P1",0,1,0,0,0,0
"ABCC6P2",0,0,0,0,0,0
"ABCC8",2,3,4,0,3,2
"ABCC9",0,1,0,0,0,0
"ABCD1",1253,911,1306,481,444,378
"ABCD1P2",0,3,0,0,0,0
"ABCD1P3",0,3,0,0,0,0
"ABCD1P4",0,0,0,0,0,0
"ABCD1P5",0,0,0,1,0,0
"ABCD2",25,24,26,105,130,93
"ABCD3",5284,4034,5775,3772,3807,3326
"ABCD4",6123,4350,6469,3240,3258,2886
"ABCE1",27957,21277,30794,11336,11803,9780
"ABCF1",21574,15716,23240,6490,6551,5336
"ABCF2",21638,15736,23708,5598,5698,4901
"ABCF2P1",18,13,15,6,6,1
"ABCF2P2",0,0,0,0,0,0
"ABCF3",6461,4794,6822,2599,2604,2303
"ABCG1",10263,7329,10190,12,15,14
"ABCG2",960,722,1046,1213,1190,1030
"ABCG4",7,4,12,0,0,0
"ABCG5",0,0,0,0,0,0
"ABCG8",0,0,3,0,0,0
"ABHD1",6,2,6,0,0,0
"ABHD10",4948,3652,5444,14,24,32
"ABHD11",514,378,525,225,239,219
"ABHD11-AS1",4,6,4,2,2,2
"ABHD12",3316,2251,3205,1406,1428,1227
"ABHD12B",0,1,0,447,402,380
"ABHD13",5345,4266,5718,1058,1143,910
"ABHD14A",513,386,514,76,83,77
"ABHD14A-ACY1",8,15,3,1,2,0
"ABHD14B",7866,5661,8348,1611,1527,1360
"ABHD15",9660,6929,9601,1058,1115,906
"ABHD15-AS1",2,0,3,0,0,0
"ABHD16A",268,241,335,117,128,106
"ABHD16B",0,1,0,0,0,1
"ABHD17A",7322,5371,7286,3075,3076,2713
"ABHD17AP1",0,0,0,0,0,0
"ABHD17AP2",0,0,0,0,0,0
"ABHD17AP3",10,5,3,4,1,6
"ABHD17AP4",0,1,0,0,2,0
"ABHD17AP5",2,4,2,2,2,1
"ABHD17AP6",8,9,13,1,5,4
"ABHD17AP7",0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0
"ABHD17B",6085,4617,6212,3453,3787,3109
"ABHD17C",2152,1609,2350,803,900,658
"ABHD18",3617,2926,4202,1062,1130,917
"ABHD2",7072,5246,7585,2614,2638,2189
"ABHD3",4142,3092,4600,1074,1064,962
"ABHD4",609,457,653,29,32,39
"ABHD5",1384,1029,1628,551,572,441
"ABHD6",1290,947,1514,298,343,279
"ABHD8",137,106,117,8,11,4
"ABI1",5299,3894,5585,6362,6659,5537
"ABI2",6893,5240,7651,5849,6030,5014
"ABI3",515,322,454,84,70,56
"ABI3BP",26,23,24,0,0,0
"ABL1",15861,11585,16862,5884,5979,5182
"ABL2",4791,3439,4559,2489,2668,2185
