"","Nalm6_0hr_Pred_Rep1","Nalm6_0hr_Pred_Rep2","Nalm6_0hr_Pred_Rep3","A687_24hr_Pred_Rep1","A687_24hr_Pred_Rep2","A687_24hr_Pred_Rep3"
"A1BG",88.506840324961,94.7063174710742,97.8792256176951,77.682060489122,64.6755762316387,63.8589686245927
"A1BG-AS1",2218.01705888191,2114.03762897296,2023.78028921674,1490.61614183844,1442.54654812307,1624.08890474978
"A2M",102.762975679317,81.0621869879533,101.27388084143,8.79419552707042,2.81198157528864,3.45183614186988
"A2MP1",0,1.60519182154363,2.26310348249006,1.46569925451174,2.81198157528864,1.72591807093494
"A3GALT2",7.12806767717806,4.81557546463089,5.65775870622515,8.79419552707042,11.2479263011545,5.17775421280481
"A4GALT",1.78201691929452,4.81557546463089,2.82887935311258,0,0,0
"AAAS",5188.0452577061,5061.16981332707,5089.15395624952,3415.07926301235,3616.20830582119,3746.96813199975
"AACS",723.498869233573,637.261153152821,661.957768628343,373.753309900493,358.527650849301,346.909532257922
"AACSP1",0,0,0.565775870622515,224.251985940296,257.29631413891,264.065464853045
"AAED1",1125.0466817146,1102.76678140047,1065.92174025282,4.39709776353521,5.62396315057727,5.17775421280481
"AAGAB",4311.88693905296,4191.15584605042,4407.95980802002,3831.33785129368,3700.56775307985,3860.87872468146
"AAK1",2945.07996195407,2955.96073937259,2771.7359901797,4446.93153818861,4646.79955316447,4628.9122662475
"AAMDC",471.046472333517,485.570526016948,476.383283064158,561.362814477995,442.88709810796,510.871748996742
"AAMP",6796.61253018928,6745.01603412633,6684.07613553439,6849.21261633334,6633.4645361059,7416.26995080743
"AANAT",4.15803947835387,8.02595910771815,3.39465522373509,14.6569925451174,11.2479263011545,8.62959035467469
"AAR2",4987.86535710535,4854.10006834794,4847.56765949371,3466.37873692026,3406.71567846218,3488.08042135951
"AARS",11505.8892422449,11339.0750273842,12039.7105268471,14245.1310545996,13816.6714701807,14587.4595355421
"AARS2",4298.22480933837,4460.82807206975,4511.49679234394,2695.42092904708,2488.60369413044,2837.40930861704
"AARSD1",401.547812481031,455.874477318391,427.160782319999,266.757264321136,306.505991706461,348.635450328857
"AASDH",759.733213259229,809.819273968761,785.862684294674,1360.16890818689,1452.38848363658,1486.01545907498
"AASDHPPT",3867.57072050886,3851.65777579394,3987.58833614749,4935.00938994102,4891.44195021458,4725.56367821986
"AASS",3173.17812762377,3365.28465386622,3477.8242767166,445.572573371568,431.639171806806,498.790322500197
"AATF",6408.72684742284,6057.19133859489,6413.63526937683,6025.48963529775,5896.72536338027,6166.70526745053
"AATK",4.75204511811871,8.02595910771815,9.61818980058276,4.39709776353521,5.62396315057727,3.45183614186988
"AB015752.3",1.18801127952968,0.802595910771815,1.69732761186755,1.46569925451174,1.40599078764432,5.17775421280481
"AB019440.50",37.4223553051848,32.9064323416444,27.7230176605032,0,0,0
"AB019441.29",390.855710965264,370.799310776579,316.834487548609,323.919535247094,390.865438965121,176.043643235364
"ABALON",1.78201691929452,2.40778773231545,1.69732761186755,0,1.40599078764432,0
"ABAT",1182.07122313203,1237.60289441014,1314.2973474561,1130.05412522855,1161.34839059421,1116.6689918949
"ABC7-43041300I9.1",32.0763045473013,45.7479669139935,35.0781039785959,5.86279701804695,1.40599078764432,1.72591807093494
"ABCA1",1719.64632711921,1635.69046615296,1473.28036710103,703.535642165633,687.529495158072,709.352327154259
"ABCA10",55.24252449813,48.9583505570807,60.5380181566091,36.6424813627934,32.3377881158193,55.229378269918
"ABCA11P",45.1444286221277,52.168734200168,50.9198283560264,60.0936694349812,57.6456222934171,36.2442794896337
"ABCA12",4.75204511811871,5.6181713754027,3.39465522373509,5.86279701804695,14.0599078764432,1.72591807093494
"ABCA17P",18.41417483271,20.0648977692954,24.8941383073907,0,0,1.72591807093494
"ABCA2",2085.55380121435,2028.15986652038,2046.97709991226,4449.86293669763,4285.45992073988,4780.79305648978
"ABCA3",239.978278464995,247.199540517719,213.863279095311,1.46569925451174,0,0
"ABCA4",13.6621297145913,20.0648977692954,13.0128450243179,222.786286685784,205.274654996071,200.206496228453
"ABCA5",882.098375050785,970.338456123124,835.085185038832,782.683401909267,868.902306764189,818.08516562316
