"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ZNF318_TARGET_GENES","ZNF318_TARGET_GENES","ZNF318_TARGET_GENES","36/704","498/27978",1.86967842686728e-08,5.61651399430931e-05,4.59350468242972e-05,"7431/7145/7023/4616/26090/1209/8714/6164/900/4602/6125/55577/1968/967/57082/6229/29948/6189/55262/6130/26229/1915/29028/90993/23385/152926/567/596/6201/6124/2629/84875/9687/4122/6222/283131",36
"E2F1_Q4_01","E2F1_Q4_01","E2F1_Q4_01","22/704","229/27978",9.34829955255158e-08,0.000140411459279325,0.000114836479766607,"4171/284403/79960/5427/2625/8503/3925/9924/3178/10592/4609/5292/158763/29028/4176/5099/1501/983/22845/1960/389792/9824",22
"E2F_Q3_01","E2F_Q3_01","E2F_Q3_01","22/704","236/27978",1.58793530343954e-07,0.000159005255051079,0.000130043543797469,"4171/284403/79960/5427/2625/8503/3925/9924/3178/10592/4609/5292/158763/29028/4176/5099/1501/983/22845/1960/389792/9824",22
"PSMB5_TARGET_GENES","PSMB5_TARGET_GENES","PSMB5_TARGET_GENES","24/704","308/27978",1.18525029756195e-06,0.000890122973469027,0.000727993209081473,"54443/6515/6175/994/5054/22943/6206/8503/3925/6385/7057/10769/1915/3921/6241/125144/7262/8349/389792/8329/6136/50854/3304/60674",24
"MIR3129_5P","MIR3129_5P","MIR3129_5P","16/704","154/27978",1.86318873953768e-06,0.00101634085287663,0.000831221371719829,"3675/3993/334/3655/6319/1303/2335/5819/5270/1545/79932/1952/2768/861/6383/5099",16
"MIR199A_3P_MIR199B_3P","MIR199A_3P_MIR199B_3P","MIR199A_3P_MIR199B_3P","16/704","155/27978",2.02997507232349e-06,0.00101634085287663,0.000831221371719829,"3675/3993/334/3655/6319/1303/2335/5819/5270/1545/79932/1952/2768/861/6383/5099",16
"E2F_Q4_01","E2F_Q4_01","E2F_Q4_01","20/704","238/27978",2.90957253211004e-06,0.00114367870640509,0.000935365512912429,"4171/284403/79960/5427/2625/8503/3925/9924/3178/10592/4609/10733/158763/29028/4176/5099/1501/22845/389792/9824",20
"NFY_01","NFY_01","NFY_01","21/704","261/27978",3.29914695372156e-06,0.00114367870640509,0.000935365512912429,"10460/1591/26090/140699/8503/3925/4751/6185/11113/26298/9924/7108/29127/151354/171546/5347/84289/983/6657/5101/3303",21
"E2F_Q6_01","E2F_Q6_01","E2F_Q6_01","20/704","242/27978",3.74997914509904e-06,0.00114367870640509,0.000935365512912429,"4171/79960/5427/1209/3925/1026/9924/3178/10592/4609/10733/158763/29028/4176/5099/1501/6241/22845/389792/9824",20
"E2F1_Q6_01","E2F1_Q6_01","E2F1_Q6_01","20/704","243/27978",3.99185026703093e-06,0.00114367870640509,0.000935365512912429,"4171/79960/7023/4616/5427/3925/9924/9700/3178/4609/57575/29028/4176/55806/1501/22845/1946/5167/9824/7124",20
